Number;Firstname;Surname;Birthday;Gender;Club;Nation;Type;Class;Starttime;Finish;RankValue;ExitStatus;Rank;RankPoints;Participated;ContestantId;Team;TotalPoints;TotalTime;TotalTimeFormatted;TotalDiffTimeFormatted;BonusSeconds;ClassId;Norges Cup 2/Junior Cup 1 Normal-Points;Norges Cup 2/Junior Cup 1 Normal-Time;Norges Cup 2/Junior Cup 1 Normal-TimeFormatted;Norges Cup 2/Junior Cup 1 Normal-DiffTimeFormatted;Norges Cup 2/Junior Cup 1 Sprint-Points;Norges Cup 2/Junior Cup 1 Sprint-Time;Norges Cup 2/Junior Cup 1 Sprint-TimeFormatted;Norges Cup 2/Junior Cup 1 Sprint-DiffTimeFormatted;Norges Cup 5 Normal (NM for jr.)-Points;Norges Cup 5 Normal (NM for jr.)-Time;Norges Cup 5 Normal (NM for jr.)-TimeFormatted;Norges Cup 5 Normal (NM for jr.)-DiffTimeFormatted;Norges Cup 5 Sprint-Points;Norges Cup 5 Sprint-Time;Norges Cup 5 Sprint-TimeFormatted;Norges Cup 5 Sprint-DiffTimeFormatted;Norges Cup 4 Sprint-Points;Norges Cup 4 Sprint-Time;Norges Cup 4 Sprint-TimeFormatted;Norges Cup 4 Sprint-DiffTimeFormatted;NM Junior / NC 6 Senior  Fellesstart-Points;NM Junior / NC 6 Senior  Fellesstart-Time;NM Junior / NC 6 Senior  Fellesstart-TimeFormatted;NM Junior / NC 6 Senior  Fellesstart-DiffTimeFormatted;NM Junior / NC 6 Senior  Sprint-Points;NM Junior / NC 6 Senior  Sprint-Time;NM Junior / NC 6 Senior  Sprint-TimeFormatted;NM Junior / NC 6 Senior  Sprint-DiffTimeFormatted;Norges Cup finale junior og ungdom fellesstart-Points;Norges Cup finale junior og ungdom fellesstart-Time;Norges Cup finale junior og ungdom fellesstart-TimeFormatted;Norges Cup finale junior og ungdom fellesstart-DiffTimeFormatted;Norges Cup 4 Sprint Søndag-Points;Norges Cup 4 Sprint Søndag-Time;Norges Cup 4 Sprint Søndag-TimeFormatted;Norges Cup 4 Sprint Søndag-DiffTimeFormatted;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-Points;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-Time;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-TimeFormatted;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-DiffTimeFormatted;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-Points;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-Time;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-TimeFormatted;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-DiffTimeFormatted
40;Mina de Lange;Claussen;0;f;Bærums Skiklub;NO;Serie;K20-21;00:00:00.000;Mål;17.0;OK;40;0;6;2132688;Team OASSK;17.0;11983750;3:19:43.75;Mangler 3;0;544811;NOR;;;;;;;;;0.0;3044800;50:44.8;15:28.7;11.0;1367650;22:47.6;2:04.5;;;;;0.0;2177200;36:17.2;6:18.3;0.0;1594700;26:34.7;4:12.5;;;;;;;;;6.0;2132400;35:32;4:33;0.0;1667000;27:47;5:29
41;Siri;Aas;0;f;Birkenes IL;NO;Serie;K20-21;00:00:00.000;Mål;12.0;OK;41;0;7;694452;Sirdal Ski;12.0;13178440;3:39:38.44;Mangler 2;0;544811;NOR;;;;;;;;;0.0;2723700;45:23.7;10:07.6;0.0;1466900;24:26.9;3:43.8;2.0;1956960;32:36.96;6:11.29;0.0;2098100;34:58.1;4:59.2;1.0;1536100;25:36.1;3:13.9;;;;;5.0;1847480;30:47.4;5:15.5;;;;;4.0;1549200;25:49;3:31
42;Tuva Eilevsdotter;Sørbøen;0;f;Ål Skiskyttarlag;NO;Serie;K20-21;00:00:00.000;Mål;5.0;OK;42;0;4;694457;;5.0;8011240;2:13:31.24;Mangler 5;0;544811;NOR;;;;;;;;;;;;;;;;;4.0;1938260;32:18.26;5:52.59;;;;;;;;;;;;;1.0;2075280;34:35.2;9:03.3;0.0;2270300;37:50;6:51;0.0;1727400;28:47;6:29
43;Marte Eriksen;Hensema;0;f;Bødalen IF;NO;Serie;K20-21;00:00:00.000;Mål;2.0;OK;43;0;5;3750020;Team Kongsberg;2.0;10687560;2:58:07.56;Mangler 4;0;544811;NOR;0.0;3061760;51:01.7;10:28.4;0.0;1828100;30:28.1;6:23.4;;;;;;;;;1.0;1988600;33:08.60;6:42.93;;;;;;;;;;;;;;;;;0.0;2218500;36:58;5:59;1.0;1590600;26:30;4:12
44;Tonje Bruem;Reistad;0;f;Stiklestad IL;NO;Serie;K20-21;00:00:00.000;Mål;1.0;OK;44;0;2;758465;Steinkjer vgs;1.0;4963040;1:22:43.04;Mangler 7;0;544811;NOR;0.0;3154240;52:34.2;12:00.9;1.0;1808800;30:08.8;6:04.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Toril Bakka;Nygård;0;f;Haltdalen IL;NO;Serie;K20-21;00:00:00.000;Mål;1.0;OK;44;0;3;4736748;;1.0;5186440;1:26:26.44;Mangler 6;0;544811;NOR;;;;;;;;;;;;;1.0;1453640;24:13.6;3:30.5;;;;;0.0;2086500;34:46.5;4:47.6;0.0;1646300;27:26.3;5:04.1;;;;;;;;;;;;;;;;
46;Gina;Nygård;0;f;Tynset IF;NO;Serie;K20-21;00:00:00.000;Mål;0.0;OK;46;0;2;726408;Team Toyota Slettum Bil;0.0;5833530;1:37:13.53;Mangler 7;0;544811;NOR;0.0;3785530;1:03:05.5;22:32.2;0.0;2048000;34:08.0;10:03.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Mari Skjevling;Erlandsen;0;f;Hønefoss Skiskytterklubb;NO;Serie;K20-21;00:00:00.000;Mål;0.0;OK;46;0;3;941448;Team Skiguard Buskerud;0.0;6523590;1:48:43.59;Mangler 6;0;544811;NOR;;;;;;;;;;;;;0.0;1774090;29:34.0;8:50.9;;;;;;;;;0.0;1927500;32:07.5;9:45.3;;;;;;;;;0.0;2822000;47:02;16:03;;;;
48;Andrine;Green;0;f;Stiklestad IL;NO;Serie;K20-21;00:00:00.000;Mål;0.0;OK;46;0;3;941149;;0.0;6056500;1:40:56.50;Mangler 6;0;544811;NOR;;;;;;;;;;;;;;;;;0.0;2144400;35:44.40;9:18.73;;;;;;;;;;;;;;;;;0.0;2291300;38:11;7:12;0.0;1620800;27:00;4:42
49;Øyvind Rikheim;Haugan;0;m;Try, Idrettslaget;NO;Serie;M20-21;00:00:00.000;Mål;292.0;OK;1;0;9;391191;Holmenkollen Biathlon;292.0;17999200;4:59:59.20;0:00.000;0;544812;NOR;24.0;2871110;47:51.1;6:23.2;36.0;1690900;28:10.9;0:44.4;36.0;2388200;39:48.2;0:55.5;22.0;1567400;26:07.4;1:30.2;36.0;1706080;28:26.08;0:39.74;32.0;2027800;33:47.8;1:04.1;36.0;1470400;24:30.4;1:01.8;32.0;2087500;34:47;1:15;24.0;1654710;27:34.7;1:34.1;36.0;2102500;35:02;0:57;0.0;1646100;27:26;3:35
50;Jørgen Brendengen;Krogsæter;0;m;Ullensaker Skiklubb;NO;Serie;M20-21;00:00:00.000;Mål;290.0;OK;2;0;9;1428544;;290.0;17489330;4:51:29.33;8:29.870;0;544812;NOR;50.0;2487950;41:27.9;0:00.0;29.0;1694500;28:14.5;0:48.0;0.0;2690700;44:50.7;5:58.0;40.0;1504480;25:04.4;0:27.2;;;;;21.0;2050800;34:10.8;1:27.1;50.0;1408600;23:28.6;0:00.0;36.0;2054000;34:14;0:42;;;;;14.0;2167000;36:07;2:02;50.0;1431300;23:51;0:00
51;Dag Sander;Bjørndalen;0;m;Simostranda IL;NO;Serie;M20-21;00:00:00.000;Mål;275.0;OK;3;0;9;1948945;Team Geilo;275.0;16605900;4:36:45.90;23:13.300;0;544812;NOR;19.0;2933950;48:53.9;7:26.0;45.0;1664300;27:44.3;0:17.8;8.0;2573000;42:53.0;4:00.3;21.0;1582320;26:22.3;1:45.1;50.0;1666340;27:46.34;0:00.00;24.0;2037200;33:57.2;1:13.5;20.0;1494100;24:54.1;1:25.5;24.0;2115600;35:15;1:43;36.0;1626790;27:06.7;1:06.1;18.0;2138200;35:38;1:33;36.0;1485300;24:45;0:54
52;Fredrik Arne;Grusd;0;m;Fossum IF;NO;Serie;M20-21;00:00:00.000;Mål;256.0;OK;4;0;9;431544;;256.0;17659300;4:54:19.30;5:39.900;0;544812;NOR;36.0;2724750;45:24.7;3:56.8;40.0;1664900;27:44.9;0:18.4;21.0;2424500;40:24.5;1:31.8;29.0;1546450;25:46.4;1:09.2;;;;;40.0;2013300;33:33.3;0:49.6;15.0;1502000;25:02.0;1:33.4;26.0;2112100;35:12;1:40;;;;;29.0;2115400;35:15;1:10;20.0;1555900;25:55;2:04
53;Trygve Bondhus;OFTEN;0;m;Tynset IF;NO;Serie;M20-21;00:00:00.000;Mål;239.0;OK;5;0;9;986592;Team Woodcon;239.0;17283540;4:48:03.54;11:55.660;0;544812;NOR;5.0;2992180;49:52.1;8:24.2;32.0;1692400;28:12.4;0:45.9;1.0;2618600;43:38.6;4:45.9;0.0;1702530;28:22.5;3:45.3;21.0;1755780;29:15.78;1:29.44;50.0;1963700;32:43.7;0:00.0;6.0;1542800;25:42.8;2:14.2;22.0;2116400;35:16;1:44;45.0;1600580;26:40.5;0:39.9;26.0;2120100;35:20;1:15;32.0;1499600;24:59;1:08
54;Fredrik Qvist;Bucher-Johannessen;0;m;Try, Idrettslaget;NO;Serie;M20-21;00:00:00.000;Mål;237.0;OK;6;0;9;634400;Team Maxim;237.0;16226820;4:30:26.82;29:32.380;0;544812;NOR;7.0;2986300;49:46.3;8:18.4;22.0;1730600;28:50.6;1:24.1;45.0;2364800;39:24.8;0:32.1;13.0;1602940;26:42.9;2:05.7;13.0;1803720;30:03.72;2:17.38;19.0;2057800;34:17.8;1:34.1;14.0;1504700;25:04.7;1:36.1;40.0;2047400;34:07;0:35;50.0;1560660;26:00.6;0:00.0;13.0;2183100;36:23;2:18;21.0;1554200;25:54;2:03
55;Håvard Kne;Galåen;0;m;Røros IL;NO;Serie;M20-21;00:00:00.000;Mål;228.0;OK;7;0;9;426677;Trondheim Biathlon Team;228.0;16975420;4:42:55.42;17:03.780;0;544812;NOR;4.0;3010800;50:10.8;8:42.9;21.0;1735000;28:55.0;1:28.5;17.0;2483500;41:23.5;2:30.8;32.0;1539610;25:39.6;1:02.4;45.0;1691280;28:11.28;0:24.94;29.0;2029100;33:49.1;1:05.4;16.0;1501400;25:01.4;1:32.8;17.0;2177100;36:17;2:45;17.0;1669830;27:49.8;1:49.2;21.0;2133100;35:33;1:28;29.0;1516900;25:16;1:25
56;Øyvind Aalling;Lio;0;m;Bjerke IL Ski;NO;Serie;M20-21;00:00:00.000;Mål;226.0;OK;8;0;9;1948991;Team Geilo;226.0;17646490;4:54:06.49;5:52.710;0;544812;NOR;29.0;2823740;47:03.7;5:35.8;17.0;1758200;29:18.2;1:51.7;29.0;2397400;39:57.4;1:04.7;19.0;1587960;26:27.9;1:50.7;26.0;1714910;28:34.91;0:48.57;14.0;2096500;34:56.5;2:12.8;29.0;1487000;24:47.0;1:18.4;29.0;2087600;34:47;1:15;29.0;1651580;27:31.5;1:30.9;19.0;2138100;35:38;1:33;15.0;1575500;26:15;2:24
57;Vebjørn;Sørum;0;m;Søndre Ål Sportsklubb;NO;Serie;M20-21;00:00:00.000;Mål;218.0;OK;9;0;6;1625378;;218.0;10951700;3:02:31.70;Mangler 3;0;544812;NOR;;;;;;;;;50.0;2332700;38:52.7;0:00.0;11.0;1612800;26:52.8;2:15.6;;;;;17.0;2075100;34:35.1;1:51.4;45.0;1412400;23:32.4;0:03.8;;;;;;;;;50.0;2045100;34:05;0:00;45.0;1473600;24:33;0:42
58;Sivert Guttorm;Bakken;0;m;Vingrom IL;NO;Serie;M20-21;00:00:00.000;Mål;217.0;OK;10;0;5;694673;;217.0;9288530;2:34:48.53;Mangler 4;0;544812;NOR;;;;;;;;;32.0;2392100;39:52.1;0:59.4;50.0;1477230;24:37.2;0:00.0;;;;;45.0;1988600;33:08.6;0:24.9;40.0;1417800;23:37.8;0:09.2;50.0;2012800;33:32;0:00;;;;;;;;;;;;
59;Eirik Kjøl;Tornes;0;m;Molde og Omegn IF;NO;Serie;M20-21;00:00:00.000;Mål;211.0;OK;11;0;9;925168;TEAM HUGAAS;211.0;17765640;4:56:05.64;3:53.560;0;544812;NOR;0.0;3051890;50:51.8;9:23.9;19.0;1743900;29:03.9;1:37.4;18.0;2469000;41:09.0;2:16.3;45.0;1484210;24:44.2;0:07.0;29.0;1712700;28:32.70;0:46.36;16.0;2076100;34:36.1;1:52.4;22.0;1489900;24:49.9;1:21.3;0.0;2171800;36:11;2:39;40.0;1607340;26:47.3;0:46.7;22.0;2130600;35:30;1:25;;;;
60;Vegar Horneberg;Selnæs;0;m;Trondhjems Skiskyttere;NO;Serie;M20-21;00:00:00.000;Mål;195.0;OK;12;0;9;311172;Trondheim Biathlon Team;195.0;17650480;4:54:10.48;5:48.720;0;544812;NOR;45.0;2706180;45:06.1;3:38.2;26.0;1696900;28:16.9;0:50.4;12.0;2511800;41:51.8;2:59.1;9.0;1646630;27:26.6;2:49.4;16.0;1777070;29:37.07;1:50.73;0.0;2332600;38:52.6;6:08.9;19.0;1494900;24:54.9;1:26.3;20.0;2151500;35:51;2:19;3.0;1744940;29:04.9;3:04.3;24.0;2122700;35:22;1:17;24.0;1542800;25:42;1:51
61;Anders Sønsteby;Flaagen;0;m;Søndre Ål Sportsklubb;NO;Serie;M20-21;00:00:00.000;Mål;184.0;OK;13;0;9;4703956;Team Lygna skiskyting;184.0;17850680;4:57:30.68;2:28.520;0;544812;NOR;26.0;2835130;47:15.1;5:47.2;11.0;1774900;29:34.9;2:08.4;11.0;2529300;42:09.3;3:16.6;15.0;1597220;26:37.2;2:00.0;40.0;1699790;28:19.79;0:33.45;15.0;2076700;34:36.7;1:53.0;4.0;1548000;25:48.0;2:19.4;21.0;2133800;35:33;2:01;19.0;1666340;27:46.3;1:45.7;10.0;2203200;36:43;2:38;26.0;1537500;25:37;1:46
62;Rasmus;Krogstad;0;m;Try, Idrettslaget;NO;Serie;M20-21;00:00:00.000;Mål;171.0;OK;14;0;9;4911020;Team Woodcon;171.0;17977860;4:59:37.86;0:21.340;0;544812;NOR;20.0;2928870;48:48.8;7:20.9;18.0;1749800;29:09.8;1:43.3;16.0;2492500;41:32.5;2:39.8;0.0;1698450;28:18.4;3:41.2;11.0;1808630;30:08.63;2:22.29;7.0;2147400;35:47.4;3:03.7;32.0;1481000;24:41.0;1:12.4;;;;;10.0;1708360;28:28.3;2:27.7;40.0;2090000;34:50;0:45;17.0;1571300;26:11;2:20
63;Eirik Silsand;Gerhardsen;0;m;Tromsø Skiskytterlag;NO;Serie;M20-21;00:00:00.000;Mål;165.0;OK;15;0;9;694606;;165.0;18412840;5:06:52.84;6:53.640;0;544812;NOR;40.0;2712360;45:12.3;3:44.4;20.0;1739700;28:59.7;1:33.2;15.0;2500300;41:40.3;2:47.6;12.0;1611910;26:51.9;2:14.7;24.0;1727470;28:47.47;1:01.13;10.0;2136900;35:36.9;2:53.2;0.0;1556400;25:56.4;2:27.8;11.0;2271100;37:51;4:19;6.0;1719370;28:39.3;2:38.7;20.0;2133500;35:33;1:28;13.0;1579600;26:19;2:28
64;Filip Fjeld;ANDERSEN;0;m;Geilo IL;NO;Serie;M20-21;00:00:00.000;Mål;161.0;OK;16;0;5;1778366;;161.0;9481260;2:38:01.26;Mangler 4;0;544812;NOR;;;;;;;;;26.0;2418300;40:18.3;1:25.6;36.0;1512960;25:12.9;0:35.7;;;;;36.0;2026700;33:46.7;1:03.0;18.0;1496000;24:56.0;1:27.4;45.0;2027300;33:47;0:15;;;;;;;;;;;;
65;Magnus;Bøe;0;m;Try, Idrettslaget;NO;Serie;M20-21;00:00:00.000;Mål;157.0;OK;17;0;4;634097;Holmenkollen Biathlon;157.0;8084740;2:14:44.74;Mangler 5;0;544812;NOR;22.0;2889340;48:09.3;6:41.4;50.0;1646500;27:26.5;0:00.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.0;2063800;34:23;0:18;40.0;1485100;24:45;0:54
66;Magnus;Horten;0;m;Os IL;NO;Serie;M20-21;00:00:00.000;Mål;157.0;OK;18;0;9;426679;Team Toyota Slettum Bil;157.0;17999350;4:59:59.35;0:00.150;0;544812;NOR;6.0;2986380;49:46.3;8:18.4;12.0;1771200;29:31.2;2:04.7;24.0;2420600;40:20.6;1:27.9;24.0;1557850;25:57.8;1:20.6;22.0;1749140;29:09.14;1:22.80;26.0;2034800;33:54.8;1:11.1;0.0;1648800;27:28.8;4:00.2;14.0;2204500;36:44;3:12;22.0;1660980;27:40.9;1:40.3;6.0;2237200;37:17;3:12;7.0;1613900;26:53;3:02
67;Martin Øyen;Tøraasen;0;m;Folldal IF;NO;Serie;M20-21;00:00:00.000;Mål;153.0;OK;19;0;9;694620;Team Toyota Slettum Bil;153.0;17656060;4:54:16.06;5:43.140;0;544812;NOR;12.0;2958610;49:18.6;7:50.7;5.0;1793500;29:53.5;2:27.0;4.0;2598500;43:18.5;4:25.8;26.0;1547580;25:47.5;1:10.3;32.0;1712200;28:32.20;0:45.86;13.0;2107300;35:07.3;2:23.6;17.0;1498100;24:58.1;1:29.5;19.0;2171400;36:11;2:39;18.0;1666470;27:46.4;1:45.8;11.0;2200900;36:40;2:35;5.0;1621400;27:01;3:10
68;Sigurd;Leren;0;m;Vingelen IL;SE;Serie;M20-21;00:00:00.000;Mål;130.0;OK;20;0;9;3523397;Team Woodcon;130.0;18715320;5:11:55.32;11:56.120;0;544812;SWE;8.0;2985280;49:45.2;8:17.3;1.0;1833000;30:33.0;3:06.5;19.0;2460900;41:00.9;2:08.2;0.0;1685260;28:05.2;3:28.0;5.0;1827150;30:27.15;2:40.81;6.0;2160500;36:00.5;3:16.8;12.0;1513700;25:13.7;1:45.1;15.0;2187200;36:27;2:55;32.0;1637290;27:17.2;1:16.6;32.0;2110300;35:10;1:05;0.0;1714600;28:34;4:43
69;Odin;Garli;0;m;Sokna IL;NO;Serie;M20-21;00:00:00.000;Mål;119.0;OK;21;0;9;2223534;TEAM HUGAAS;119.0;17373710;4:49:33.71;10:25.490;0;544812;NOR;;;;;0.0;1902000;31:42.0;4:15.5;22.0;2422500;40:22.5;1:29.8;0.0;1694430;28:14.4;3:37.2;0.0;1876550;31:16.55;3:30.21;3.0;2175500;36:15.5;3:31.8;26.0;1487800;24:47.8;1:19.2;8.0;2298300;38:18;4:46;26.0;1654680;27:34.6;1:34.0;12.0;2187500;36:27;2:22;22.0;1551000;25:51;2:00
70;Øystein;Markegård;0;m;Geilo IL;NO;Serie;M20-21;00:00:00.000;Mål;113.0;OK;22;0;9;2119822;Team Geilo;113.0;18116380;5:01:56.38;1:57.180;0;544812;NOR;0.0;3239070;53:59.0;12:31.1;6.0;1792900;29:52.9;2:26.4;0.0;2908600;48:28.6;9:35.9;0.0;1719040;28:39.0;4:01.8;19.0;1772010;29:32.01;1:45.67;12.0;2111700;35:11.7;2:28.0;24.0;1488200;24:48.2;1:19.6;10.0;2273600;37:53;4:21;8.0;1714200;28:34.2;2:33.6;15.0;2159800;35:59;1:54;19.0;1564900;26:04;2:13
71;Simen;Hårstad;0;m;Rennebu IL;NO;Serie;M20-21;00:00:00.000;Mål;110.0;OK;23;0;7;382840;TEAM HUGAAS;110.0;13357730;3:42:37.73;Mangler 2;0;544812;NOR;;;;;;;;;40.0;2374900;39:34.9;0:42.2;;;;;15.0;1782200;29:42.20;1:55.86;18.0;2061800;34:21.8;1:38.1;10.0;1516000;25:16.0;1:47.4;7.0;2317300;38:37;5:05;14.0;1684430;28:04.4;2:03.8;;;;;6.0;1621100;27:01;3:10
72;Truls Fjellheim;JORDE;0;m;Asker Skiklubb;NO;Serie;M20-21;00:00:00.000;Mål;106.0;OK;24;0;8;676245;;106.0;15846010;4:24:06.01;Mangler 1;0;544812;NOR;32.0;2765100;46:05.1;4:37.2;24.0;1713900;28:33.9;1:07.4;0.0;2619600;43:39.6;4:46.9;17.0;1593290;26:33.2;1:56.0;4.0;1829120;30:29.12;2:42.78;20.0;2055100;34:15.1;1:31.4;9.0;1530700;25:30.7;2:02.1;;;;;;;;;;;;;0.0;1739200;28:59;5:08
73;Sivert;Bekken;0;m;Kvikne IL;NO;Serie;M20-21;00:00:00.000;Mål;105.0;OK;25;0;9;2275672;Team Toyota Slettum Bil;105.0;18300100;5:05:00.10;5:00.900;0;544812;NOR;2.0;3011930;50:11.9;8:44.0;7.0;1788100;29:48.1;2:21.6;7.0;2587500;43:07.5;4:14.8;10.0;1630040;27:10.0;2:32.8;9.0;1819960;30:19.96;2:33.62;11.0;2128400;35:28.4;2:44.7;21.0;1493900;24:53.9;1:25.3;18.0;2175500;36:15;2:43;20.0;1664770;27:44.7;1:44.1;;;;;;;;
74;Vegard;Skrede;0;m;Hardbagg IL;NO;Serie;M20-21;00:00:00.000;Mål;99.0;OK;26;0;9;2224848;Team Glalaks;99.0;18936040;5:15:36.04;15:36.840;0;544812;NOR;0.0;3220120;53:40.1;12:12.2;15.0;1763100;29:23.1;1:56.6;0.0;2961000;49:21.0;10:28.3;18.0;1589300;26:29.3;1:52.1;17.0;1775790;29:35.79;1:49.45;0.0;2304500;38:24.5;5:40.8;5.0;1545200;25:45.2;2:16.6;12.0;2259200;37:39;4:07;16.0;1671830;27:51.8;1:51.2;16.0;2150500;35:50;1:45;0.0;1648100;27:28;3:37
75;Even;Mangset;0;m;MjøsSki;NO;Serie;M20-21;00:00:00.000;Mål;98.0;OK;27;0;9;694571;Team Woodcon;98.0;18031300;5:00:31.30;0:32.100;0;544812;NOR;18.0;2943680;49:03.6;7:35.7;14.0;1769900;29:29.9;2:03.4;;;;;;;;;0.0;1870990;31:10.99;3:24.65;22.0;2041400;34:01.4;1:17.7;11.0;1513900;25:13.9;1:45.3;9.0;2281800;38:01;4:29;13.0;1690230;28:10.2;2:09.6;0.0;2324500;38:44;4:39;11.0;1594900;26:34;2:43
76;Isak Nikolai;Hopland;0;m;Hardbagg IL;NO;Serie;M20-21;00:00:00.000;Mål;86.0;OK;28;0;9;1944237;;86.0;18660590;5:11:00.59;11:01.390;0;544812;NOR;17.0;2943750;49:03.7;7:35.8;10.0;1778000;29:38.0;2:11.5;10.0;2529500;42:09.5;3:16.8;5.0;1669310;27:49.3;3:12.1;0.0;1879470;31:19.47;3:33.13;0.0;2366100;39:26.1;6:42.4;0.0;1667300;27:47.3;4:18.7;13.0;2238100;37:18;3:46;15.0;1684060;28:04.0;2:03.4;0.0;2346300;39:06;5:01;16.0;1572300;26:12;2:21
77;Lars Hammernes;Leopold;0;m;Asker Skiklubb;NO;Serie;M20-21;00:00:00.000;Mål;84.0;OK;29;0;6;1943743;Team Maxim;84.0;13171710;3:39:31.71;Mangler 3;0;544812;NOR;0.0;3074510;51:14.5;9:46.6;13.0;1770900;29:30.9;2:04.4;20.0;2427300;40:27.3;1:34.6;;;;;;;;;;;;;;;;;16.0;2183100;36:23;2:51;;;;;17.0;2145300;35:45;1:40;18.0;1570600;26:10;2:19
78;Yann;Gouy;0;m;Figgjo IL;NO;Serie;M20-21;00:00:00.000;Mål;56.0;OK;30;0;9;4496571;Team iSandnes;56.0;17926450;4:58:46.45;1:12.750;0;544812;NOR;16.0;2946080;49:06.0;7:38.1;9.0;1778100;29:38.1;2:11.6;0.0;2670100;44:30.1;5:37.4;8.0;1654820;27:34.8;2:57.6;1.0;1850420;30:50.42;3:04.08;9.0;2139500;35:39.5;2:55.8;1.0;1555100;25:55.1;2:26.5;0.0;2356500;39:16;2:39;9.0;1708930;28:28.9;2:28.3;0.0;2381300;39:41;5:36;3.0;1623400;27:03;3:12
79;Mathias;Skrede;0;m;Geilo IL;NO;Serie;M20-21;00:00:00.000;Mål;51.0;OK;31;0;8;677695;Team Geilo;51.0;15070610;4:11:10.61;Mangler 1;0;544812;NOR;;;;;0.0;1862700;31:02.7;3:36.2;0.0;2711200;45:11.2;6:18.5;0.0;1688880;28:08.8;3:31.6;18.0;1772460;29:32.46;1:46.12;8.0;2141700;35:41.7;2:58.0;13.0;1508100;25:08.1;1:39.5;;;;;12.0;1695770;28:15.7;2:15.1;;;;;0.0;1689800;28:09;4:18
80;Robin Johan;Benonisen;0;m;Tromsø Skiskytterlag;NO;Serie;M20-21;00:00:00.000;Mål;43.0;OK;32;0;9;744331;;43.0;18023730;5:00:23.73;0:24.530;0;544812;NOR;3.0;3010970;50:10.9;8:43.0;0.0;1863500;31:03.5;3:37.0;9.0;2566600;42:46.6;3:53.9;0.0;1728420;28:48.4;4:11.2;2.0;1839190;30:39.19;2:52.85;1.0;2183000;36:23.0;3:39.3;7.0;1539300;25:39.3;2:10.7;;;;;7.0;1716750;28:36.7;2:36.1;0.0;2317700;38:37;4:32;14.0;1576000;26:16;2:25
81;Olav Lanes;Severinsen;0;m;Tromsø Skiskytterlag;NO;Serie;M20-21;00:00:00.000;Mål;38.0;OK;33;0;9;2123020;Team Troms & Finnmark;38.0;18547380;5:09:07.38;9:08.180;0;544812;NOR;0.0;3253690;54:13.6;12:45.7;3.0;1820500;30:20.5;2:54.0;0.0;2717700;45:17.7;6:25.0;0.0;1764030;29:24.0;4:46.8;12.0;1803760;30:03.76;2:17.42;0.0;2280200;38:00.2;5:16.5;0.0;1620000;27:00.0;3:31.4;;;;;11.0;1699000;28:19.0;2:18.4;0.0;2353500;39:13;5:08;12.0;1588500;26:28;2:37
82;Knut Lussand;Selheim;0;m;Voss Skiskytterlag;NO;Serie;M20-21;00:00:00.000;Mål;37.0;OK;34;0;7;582439;Team OASSK;37.0;13457810;3:44:17.81;Mangler 2;0;544812;NOR;0.0;0;0:00.0;41:27.9;0.0;1872300;31:12.3;3:45.8;0.0;2704200;45:04.2;6:11.5;3.0;1673030;27:53.0;3:15.8;10.0;1809400;30:09.40;2:23.06;0.0;2187200;36:27.2;3:43.5;3.0;1548400;25:48.4;2:19.8;;;;;21.0;1663280;27:43.2;1:42.6;;;;;;;;
83;Jonas Bogen;Øye;0;m;Trondhjems Skiskyttere;NO;Serie;M20-21;00:00:00.000;Mål;37.0;OK;35;0;9;2118020;;37.0;18910490;5:15:10.49;15:11.290;0;544812;NOR;0.0;3162890;52:42.8;11:14.9;0.0;1834400;30:34.4;3:07.9;6.0;2594500;43:14.5;4:21.8;20.0;1587680;26:27.6;1:50.4;0.0;1884010;31:24.01;3:37.67;0.0;2239700;37:19.7;4:36.0;2.0;1554100;25:54.1;2:25.5;;;;;0.0;1821410;30:21.4;4:20.8;9.0;2231800;37:11;3:06;0.0;1639300;27:19;3:28
84;Jo Brøste;Nørstegård;0;m;Dombås IL;NO;Serie;M20-21;00:00:00.000;Mål;37.0;OK;36;0;8;2970582;TEAM HUGAAS;37.0;15975870;4:26:15.87;Mangler 1;0;544812;NOR;;;;;0.0;1868600;31:08.6;3:42.1;0.0;2728800;45:28.8;6:36.1;6.0;1668220;27:48.2;3:11.0;14.0;1793110;29:53.11;2:06.77;0.0;2206700;36:46.7;4:03.0;;;;;;;;;0.0;1880040;31:20.0;5:19.4;7.0;2235300;37:15;3:10;10.0;1595100;26:35;2:44
