Number;Firstname;Surname;Birthday;Gender;Club;Nation;Type;Class;Starttime;Finish;RankValue;ExitStatus;Rank;RankPoints;Participated;ContestantId;Team;TotalPoints;TotalTime;TotalTimeFormatted;TotalDiffTimeFormatted;BonusSeconds;ClassId;Lerøy Cup Senior 2/Junior Cup 1 Sprint-Points;Lerøy Cup Senior 2/Junior Cup 1 Sprint-Time;Lerøy Cup Senior 2/Junior Cup 1 Sprint-TimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Sprint-DiffTimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Normal-Points;Lerøy Cup Senior 2/Junior Cup 1 Normal-Time;Lerøy Cup Senior 2/Junior Cup 1 Normal-TimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Normal-DiffTimeFormatted;Lerøy Cup Senior 3/Junior 2 Fellesstart-Points;Lerøy Cup Senior 3/Junior 2 Fellesstart-Time;Lerøy Cup Senior 3/Junior 2 Fellesstart-TimeFormatted;Lerøy Cup Senior 3/Junior 2 Fellesstart-DiffTimeFormatted;Lerøy Cup Senior 3/ Junior 2 Sprint-Points;Lerøy Cup Senior 3/ Junior 2 Sprint-Time;Lerøy Cup Senior 3/ Junior 2 Sprint-TimeFormatted;Lerøy Cup Senior 3/ Junior 2 Sprint-DiffTimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-Points;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-Time;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-TimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-DiffTimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-Points;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-Time;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-TimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-DiffTimeFormatted;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-Points;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-Time;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-TimeFormatted;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-DiffTimeFormatted;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-Points;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-Time;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-TimeFormatted;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-DiffTimeFormatted;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Points;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Time;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-TimeFormatted;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-DiffTimeFormatted;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Points;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Time;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-TimeFormatted;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-DiffTimeFormatted
37;Dorthe Storvik;Martinussen;0;f;Fossum IF;NO;Serie;K20-22;00:00:00.000;Mål;32.0;OK;37;0;8;652790;Holmenkollen Biathlon;32.0;17118760;4:45:18.7;Mangler -1;0;623699;NOR;0.0;1637300;27:17.3;4:14.2;0.0;3428680;57:08.6;14:23.4;0.0;2368580;39:28.5;7:17.0;0.0;1471670;24:31.6;4:06.9;8.0;1525900;25:25.9;2:37.9;6.0;2194400;36:34.4;5:39.9;7.0;2863900;47:43.9;8:00.6;7.0;1506700;25:06.7;3:06.6;0.0;2296000;38:16.0;7:12.6;4.0;1593300;26:33.3;2:39.9
38;Marit;Øygard;0;f;Skrautvål IL;NO;Serie;K20-22;00:00:00.000;Mål;20.0;OK;38;0;2;4004185;Team Maxim;20.0;4468080;1:14:28.0;Mangler 5;0;623699;NOR;8.0;1518400;25:18.4;2:15.3;12.0;2949680;49:09.6;6:24.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Anja;Fischer;0;f;Sveits;CH;Serie;K20-22;00:00:00.000;Mål;17.0;OK;39;0;2;5481916;;17.0;3694100;1:01:34.1;Mangler 5;0;623699;SUI;;;;;;;;;;;;;;;;;7.0;1534500;25:34.5;2:46.5;10.0;2159600;35:59.6;5:05.1;;;;;;;;;;;;;;;;
40;Ida Baasland;Solbjørg;0;f;Moi IL;NO;Serie;K20-22;00:00:00.000;Mål;12.0;OK;40;0;8;4770519;Sirdal Ski;12.0;17059770;4:44:19.7;Mangler -1;0;623699;NOR;0.0;1584500;26:24.5;3:21.4;0.0;3403500;56:43.5;13:58.3;1.0;2242340;37:22.3;5:10.8;0.0;1500330;25:00.3;4:35.6;1.0;1561000;26:01.0;3:13.0;2.0;2297700;38:17.7;7:23.2;8.0;2858200;47:38.2;7:54.9;0.0;1612200;26:52.2;4:52.1;0.0;2417500;40:17.5;9:14.1;0.0;1749700;29:09.7;5:16.3
41;Mina de Lange;Claussen;0;f;Bærums Skiklub;NO;Serie;K20-22;00:00:00.000;Mål;9.0;OK;41;0;8;2132688;Holmenkollen Biathlon;9.0;16181020;4:29:41.0;Mangler -1;0;623699;NOR;0.0;1595000;26:35.0;3:31.9;5.0;2997000;49:57.0;7:11.8;3.0;2205570;36:45.5;4:34.0;0.0;1444950;24:04.9;3:40.2;0.0;1673300;27:53.3;5:05.3;1.0;2319300;38:39.3;7:44.8;;;;;0.0;1660800;27:40.8;5:40.7;0.0;2285100;38:05.1;7:01.7;0.0;1605400;26:45.4;2:52.0
42;Katarina;Aarseth;0;f;Hålandsdal IL;NO;Serie;K20-22;00:00:00.000;Mål;9.0;OK;42;0;6;694860;Team Glalaks;9.0;12065090;3:21:05.0;Mangler 1;0;623699;NOR;;;;;;;;;0.0;2318300;38:38.3;6:26.8;3.0;1422990;23:42.9;3:18.2;0.0;1583900;26:23.9;3:35.9;3.0;2279600;37:59.6;7:05.1;0.0;2918800;48:38.8;8:55.5;3.0;1541500;25:41.5;3:41.4;;;;;;;;
43;Maren;Bjørken;0;f;Stiklestad IL;NO;Serie;K20-22;00:00:00.000;Mål;5.0;OK;43;0;8;694865;Steinkjer vgs;5.0;17238010;4:47:18.0;Mangler -1;0;623699;NOR;0.0;1678000;27:58.0;4:54.9;0.0;3266140;54:26.1;11:40.9;0.0;2359850;39:19.8;7:08.3;0.0;1532120;25:32.1;5:07.4;4.0;1553600;25:53.6;3:05.6;0.0;2346100;39:06.1;8:11.6;1.0;2895900;48:15.9;8:32.6;0.0;1606300;26:46.3;4:46.2;0.0;2304300;38:24.3;7:20.9;0.0;1755100;29:15.1;5:21.7
44;Amalie Kristine;Triumf;0;f;Nordreisa IL;NO;Serie;K20-22;00:00:00.000;Mål;4.0;OK;44;0;4;941444;Team Arctic Biathlon;4.0;8515170;2:21:55.1;Mangler 3;0;623699;NOR;0.0;1689000;28:09.0;5:05.9;0.0;3152270;52:32.2;9:47.0;0.0;2255030;37:35.0;5:23.5;4.0;1418870;23:38.8;3:14.1;;;;;;;;;;;;;;;;;;;;;;;;
45;Vibeke Kvistad;Dengerud;0;f;Steinkjer Skiklubb;NO;Serie;K20-22;00:00:00.000;Mål;3.0;OK;45;0;6;941153;Steinkjer vgs;3.0;13276000;3:41:16.0;Mangler 1;0;623699;NOR;;;;;;;;;0.0;2421300;40:21.3;8:09.8;0.0;1546200;25:46.2;5:21.5;0.0;1586600;26:26.6;3:38.6;0.0;2508400;41:48.4;10:53.9;3.0;2884000;48:04.0;8:20.7;;;;;0.0;2329500;38:49.5;7:46.1;;;;
46;Kristin;Mestad;0;f;Torridal IL - skiskyting;NO;Serie;K20-22;00:00:00.000;Mål;0.0;OK;46;0;8;4205060;Sirdal Ski;0.0;17564210;4:52:44.2;Mangler -1;0;623699;NOR;0.0;1620500;27:00.5;3:57.4;0.0;3147280;52:27.2;9:42.0;0.0;2496570;41:36.5;9:25.0;0.0;1514260;25:14.2;4:49.5;0.0;1633800;27:13.8;4:25.8;0.0;2425900;40:25.9;9:31.4;0.0;3077600;51:17.6;11:34.3;0.0;1648300;27:28.3;5:28.2;0.0;2542400;42:22.4;11:19.0;0.0;1770800;29:30.8;5:37.4
47;Sofie Bergan;Bjaadal;0;f;Lier IL;NO;Serie;K20-22;00:00:00.000;Mål;0.0;OK;46;0;8;2271013;Team Kongsberg;0.0;18213300;5:03:33.3;Mangler -1;0;623699;NOR;0.0;1663200;27:43.2;4:40.1;0.0;3406350;56:46.3;14:01.1;0.0;2448210;40:48.2;8:36.7;0.0;1562140;26:02.1;5:37.4;0.0;1638300;27:18.3;4:30.3;0.0;2876200;47:56.2;17:01.7;0.0;2911600;48:31.6;8:48.3;0.0;1707300;28:27.3;6:27.2;0.0;2777800;46:17.8;15:14.4;0.0;1788600;29:48.6;5:55.2
48;Kristel;Haltbrekken;0;f;Steinkjer Skiklubb;NO;Serie;K20-22;00:00:00.000;Mål;0.0;OK;46;0;8;4151195;Steinkjer vgs;0.0;18746570;5:12:26.5;Mangler -1;0;623699;NOR;0.0;1696500;28:16.5;5:13.4;0.0;3710960;1:01:50.9;19:05.7;0.0;2591720;43:11.7;11:00.2;0.0;1473490;24:33.4;4:08.7;0.0;1700200;28:20.2;5:32.2;0.0;2716200;45:16.2;14:21.7;0.0;3215400;53:35.4;13:52.1;0.0;1642100;27:22.1;5:22.0;0.0;2398200;39:58.2;8:54.8;0.0;1746000;29:06.0;5:12.6
49;Ingvild Tronstad;ANDERSEN;0;f;IL Bevern;NO;Serie;K20-22;00:00:00.000;Mål;0.0;OK;46;0;1;3649571;Team Kongsberg;0.0;3231830;53:51.8;Mangler 6;0;623699;NOR;;;;;0.0;3231830;53:51.8;11:06.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Emma Krogh;Pedersen;0;f;Nordkyn IL;NO;Serie;K20-22;00:00:00.000;Mål;0.0;OK;46;0;3;2821543;Team Arctic Biathlon;0.0;6225430;1:43:45.4;Mangler 4;0;623699;NOR;;;;;;;;;0.0;2316540;38:36.5;6:25.0;0.0;1586590;26:26.5;6:01.8;;;;;;;;;;;;;;;;;0.0;2322300;38:42.3;7:38.9;;;;
51;Maria Felicia Eide;Kaasbøll;0;f;Trondhjems Skiskyttere;NO;Serie;K20-22;00:00:00.000;Mål;0.0;OK;46;0;6;5774343;;0.0;12970940;3:36:10.9;Mangler 1;0;623699;NOR;;;;;;;;;0.0;2409710;40:09.7;7:58.2;0.0;1492330;24:52.3;4:27.6;;;;;;;;;0.0;3012700;50:12.7;10:29.4;0.0;1716500;28:36.5;6:36.4;0.0;2498700;41:38.7;10:35.3;0.0;1841000;30:41.0;6:47.6
52;Sofia;Heim;0;f;Tromsø Skiskytterlag;NO;Serie;K20-22;00:00:00.000;Mål;0.0;OK;46;0;8;852935;;0.0;17965660;4:59:25.6;Mangler -1;0;623699;NOR;;;;;;;;;0.0;2614040;43:34.0;11:22.5;0.0;1742820;29:02.8;8:38.1;0.0;1793700;29:53.7;7:05.7;0.0;2854200;47:34.2;16:39.7;0.0;3200300;53:20.3;13:37.0;0.0;1720800;28:40.8;6:40.7;0.0;2358100;39:18.1;8:14.7;0.0;1681700;28:01.7;4:08.3
53;Ingvild;Røstad;0;f;Stiklestad IL;NO;Serie;K20-22;00:00:00.000;Mål;0.0;OK;46;0;8;694850;;0.0;17530580;4:52:10.5;Mangler -1;0;623699;NOR;;;;;;;;;0.0;2631640;43:51.6;11:40.1;0.0;1570040;26:10.0;5:45.3;0.0;1663000;27:43.0;4:55.0;0.0;2621900;43:41.9;12:47.4;0.0;3128800;52:08.8;12:25.5;0.0;1713800;28:33.8;6:33.7;0.0;2327700;38:47.7;7:44.3;0.0;1873700;31:13.7;7:20.3
54;Ingeborg;Heggdal;0;f;Molde og Omegn IF;NO;Serie;K20-22;00:00:00.000;Mål;0.0;OK;46;0;2;4736497;Trondheim Biathlon Team;0.0;4512530;1:15:12.5;Mangler 5;0;623699;NOR;;;;;;;;;0.0;2711500;45:11.5;13:00.0;0.0;1801030;30:01.0;9:36.3;;;;;;;;;;;;;;;;;;;;;;;;
55;Qi;Ran;0;f;Team China/NTG Lillehammer;NO;Serie;K20-22;00:00:00.000;Mål;0.0;OK;46;0;3;5780933;Team China;0.0;6221110;1:43:41.1;Mangler 4;0;623699;NOR;;;;;;;;;;;;;0.0;1598910;26:38.9;6:14.2;;;;;;;;;0.0;2975700;49:35.7;9:52.4;0.0;1646500;27:26.5;5:26.4;;;;;;;;
56;Vilde Hagen;Friis;0;f;Ål Skiskyttarlag;NO;Serie;K20-22;00:00:00.000;Mål;0.0;OK;46;0;2;4080649;;0.0;3853600;1:04:13.6;Mangler 5;0;623699;NOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;2212300;36:52.3;5:48.9;0.0;1641300;27:21.3;3:27.9
57;Vetle Rype;Paulsen;0;m;Lier IL;NO;Serie;M20-22;00:00:00.000;Mål;301.0;OK;1;0;8;4188653;;301.0;15574810;4:19:34.8;0:00.000;0;623700;NOR;36.0;1555300;25:55.3;0:56.1;45.0;2620130;43:40.1;0:50.3;32.0;2075700;34:35.7;1:14.1;40.0;1319880;21:59.8;0:11.4;;;;;;;;;24.0;2802200;46:42.2;1:39.9;50.0;1582000;26:22.0;0:00.0;50.0;2115000;35:15.0;0:00.0;24.0;1504600;25:04.6;0:53.7
58;Jørgen Solhaug;Sæter;0;m;Os IL;NO;Serie;M20-22;00:00:00.000;Mål;266.0;OK;2;0;8;415168;;266.0;15672810;4:21:12.8;1:38.000;0;623700;NOR;26.0;1570100;26:10.1;1:10.9;40.0;2629030;43:49.0;0:59.2;45.0;2047510;34:07.5;0:45.9;50.0;1308470;21:48.4;0:00.0;;;;;;;;;29.0;2770400;46:10.4;1:08.1;32.0;1642600;27:22.6;1:00.6;18.0;2209100;36:49.1;1:34.1;26.0;1495600;24:55.6;0:44.7
59;Fredrik;Bucher-Johannessen;0;m;Try, Idrettslaget;NO;Serie;M20-22;00:00:00.000;Mål;259.0;OK;3;0;8;634400;Holmenkollen Biathlon;259.0;15703070;4:21:43.0;2:08.260;0;623700;NOR;40.0;1528200;25:28.2;0:29.0;36.0;2667560;44:27.5;1:37.7;50.0;2001690;33:21.6;0:00.0;16.0;1393120;23:13.1;1:24.7;;;;;;;;;40.0;2754700;45:54.7;0:52.4;29.0;1659800;27:39.8;1:17.8;36.0;2154600;35:54.6;0:39.6;12.0;1543400;25:43.4;1:32.5
60;Eirik Kjøl;Tornes;0;m;Molde og Omegn IF;NO;Serie;M20-22;00:00:00.000;Mål;247.0;OK;4;0;8;925168;Team Hugaas;247.0;15089040;4:11:29.0;8:05.770;0;623700;NOR;0.0;1724400;28:44.4;3:45.2;19.0;2796690;46:36.6;3:46.8;16.0;2175180;36:15.1;2:53.5;45.0;1317470;21:57.4;0:09.0;45.0;1337300;22:17.3;0:10.9;40.0;2113800;35:13.8;0:44.2;0.0;3135200;52:15.2;7:12.9;45.0;1608400;26:48.4;0:26.4;19.0;2209000;36:49.0;1:34.0;18.0;1531200;25:31.2;1:20.3
61;Eirik Silsand;Gerhardsen;0;m;Tromsø Skiskytterlag;NO;Serie;M20-22;00:00:00.000;Mål;243.0;OK;5;0;8;694606;Team Arctic Biathlon;243.0;15896660;4:24:56.6;5:21.850;0;623700;NOR;32.0;1557800;25:57.8;0:58.6;22.0;2745260;45:45.2;2:55.4;14.0;2180650;36:20.6;2:59.0;;;;;17.0;1409400;23:29.4;1:23.0;29.0;2164900;36:04.9;1:35.3;36.0;2761200;46:01.2;0:58.9;36.0;1630100;27:10.1;0:48.1;26.0;2177000;36:17.0;1:02.0;45.0;1451000;24:11.0;0:00.1
62;Johan-Olav Smørdal;Botn;0;m;Stårheim IL;NO;Serie;M20-22;00:00:00.000;Mål;235.0;OK;6;0;8;5582240;Team Hugaas;235.0;14440290;4:00:40.2;18:54.520;0;623700;NOR;15.0;1624400;27:04.4;2:05.2;15.0;2888170;48:08.1;5:18.3;21.0;2139110;35:39.1;2:17.5;32.0;1334080;22:14.0;0:25.6;19.0;1400900;23:20.9;1:14.5;45.0;2091900;34:51.9;0:22.3;50.0;2702300;45:02.3;0:00.0;24.0;1668700;27:48.7;1:26.7;15.0;2213500;36:53.5;1:38.5;29.0;1478900;24:38.9;0:28.0
63;Mats;Øverby;0;m;Lier IL;NO;Serie;M20-22;00:00:00.000;Mål;223.0;OK;7;0;8;382023;Team Woodcon;223.0;15712690;4:21:52.6;2:17.880;0;623700;NOR;0.0;1728900;28:48.9;3:49.7;26.0;2716320;45:16.3;2:26.5;0.0;2284020;38:04.0;4:42.4;21.0;1380870;23:00.8;1:12.4;40.0;1354300;22:34.3;0:27.9;50.0;2069600;34:29.6;0:00.0;45.0;2705600;45:05.6;0:03.3;5.0;1761200;29:21.2;2:59.2;22.0;2187200;36:27.2;1:12.2;14.0;1537600;25:37.6;1:26.7
64;Jørgen Brendengen;Krogsæter;0;m;Ullensaker Skiklubb;NO;Serie;M20-22;00:00:00.000;Mål;220.0;OK;8;0;8;1428544;;220.0;15979910;4:26:19.9;6:45.100;0;623700;NOR;20.0;1602400;26:42.4;1:43.2;50.0;2569870;42:49.8;0:00.0;2.0;2248850;37:28.8;4:07.2;26.0;1357490;22:37.4;0:49.0;;;;;;;;;14.0;2923000;48:43.0;3:40.7;26.0;1668100;27:48.1;1:26.1;32.0;2159300;35:59.3;0:44.3;50.0;1450900;24:10.9;0:00.0
65;Håvard Kne;Galåen;0;m;Røros IL;NO;Serie;M20-22;00:00:00.000;Mål;201.0;OK;9;0;8;426677;Trondheim Biathlon Team;201.0;14603530;4:03:23.5;16:11.280;0;623700;NOR;18.0;1610100;26:50.1;1:50.9;16.0;2824680;47:04.6;4:14.8;26.0;2111740;35:11.7;1:50.1;20.0;1382890;23:02.8;1:14.4;36.0;1363600;22:43.6;0:37.2;26.0;2167700;36:07.7;1:38.1;22.0;2832200;47:12.2;2:09.9;21.0;1669600;27:49.6;1:27.6;17.0;2212300;36:52.3;1:37.3;32.0;1465700;24:25.7;0:14.8
66;Trygve Bondhus;OFTEN;0;m;Tynset IF;NO;Serie;M20-22;00:00:00.000;Mål;200.0;OK;10;0;8;986592;Team Woodcon;200.0;15059540;4:10:59.5;8:35.270;0;623700;NOR;19.0;1603900;26:43.9;1:44.7;29.0;2705110;45:05.1;2:15.3;29.0;2076660;34:36.6;1:15.0;24.0;1366770;22:46.7;0:58.3;26.0;1375200;22:55.2;0:48.8;22.0;2181400;36:21.4;1:51.8;18.0;2875900;47:55.9;2:53.6;20.0;1670200;27:50.2;1:28.2;29.0;2174700;36:14.7;0:59.7;21.0;1509500;25:09.5;0:58.6
67;Vebjørn;Sørum;0;m;Søndre Ål Sportsklubb;NO;Serie;M20-22;00:00:00.000;Mål;193.0;OK;11;0;5;1625378;;193.0;8534860;2:22:14.8;Mangler 3;0;623700;NOR;45.0;1521900;25:21.9;0:22.7;;;;;36.0;2064400;34:24.4;1:02.8;36.0;1331760;22:11.7;0:23.3;;;;;;;;;;;;;;;;;40.0;2153500;35:53.5;0:38.5;36.0;1463300;24:23.3;0:12.4
68;Dag Sander;Bjørndalen;0;m;Simostranda IL;NO;Serie;M20-22;00:00:00.000;Mål;182.0;OK;12;0;8;1948945;Team Geilo;182.0;14779690;4:06:19.6;13:15.120;0;623700;NOR;12.0;1647800;27:27.8;2:28.6;14.0;2892310;48:12.3;5:22.5;0.0;2305000;38:25.0;5:03.4;22.0;1367580;22:47.5;0:59.1;50.0;1326400;22:06.4;0:00.0;32.0;2137000;35:37.0;1:07.4;8.0;2992900;49:52.9;4:50.6;18.0;1682600;28:02.6;1:40.6;24.0;2181000;36:21.0;1:06.0;10.0;1545000;25:45.0;1:34.1
69;Simen Eliassen;Kvarme;0;m;Steinkjer Skiklubb;NO;Serie;M20-22;00:00:00.000;Mål;179.0;OK;13;0;8;941163;Steinkjer vgs;179.0;16948040;4:42:28.0;22:53.230;0;623700;NOR;16.0;1616300;26:56.3;1:57.1;21.0;2760440;46:00.4;3:10.6;24.0;2122600;35:22.6;2:01.0;12.0;1401730;23:21.7;1:33.3;14.0;1415700;23:35.7;1:29.3;15.0;2229500;37:09.5;2:39.9;19.0;2854100;47:34.1;2:31.8;17.0;1706500;28:26.5;2:04.5;45.0;2150600;35:50.6;0:35.6;22.0;1508000;25:08.0;0:57.1
70;Filip Fjeld;ANDERSEN;0;m;Geilo IL;NO;Serie;M20-22;00:00:00.000;Mål;151.0;OK;14;0;6;1778366;;151.0;12530360;3:28:50.3;Mangler 2;0;623700;NOR;21.0;1584900;26:24.9;1:25.7;20.0;2765760;46:05.7;3:15.9;;;;;;;;;;;;;;;;;20.0;2849500;47:29.5;2:27.2;40.0;1629100;27:09.1;0:47.1;10.0;2245700;37:25.7;2:10.7;40.0;1455400;24:15.4;0:04.5
71;Øyvind Rikheim;Haugan;0;m;Try, Idrettslaget;NO;Serie;M20-22;00:00:00.000;Mål;123.0;OK;15;0;7;391191;Holmenkollen Biathlon;123.0;13131290;3:38:51.2;Mangler 1;0;623700;NOR;24.0;1574600;26:14.6;1:15.4;17.0;2824000;47:04.0;4:14.2;40.0;2049310;34:09.3;0:47.7;29.0;1351780;22:31.7;0:43.3;7.0;1430700;23:50.7;1:44.3;;;;;;;;;;;;;6.0;2287800;38:07.8;2:52.8;0.0;1613100;26:53.1;2:42.2
72;Vegar Horneberg;Selnæs;0;m;Trondhjems Skiskyttere;NO;Serie;M20-22;00:00:00.000;Mål;112.0;OK;16;0;8;311172;Trondheim Biathlon Team;112.0;14921510;4:08:41.5;10:53.300;0;623700;NOR;17.0;1610400;26:50.4;1:51.2;0.0;3169510;52:49.5;9:59.7;9.0;2216560;36:56.5;3:34.9;11.0;1403450;23:23.4;1:35.0;9.0;1427800;23:47.8;1:41.4;14.0;2231700;37:11.7;2:42.1;26.0;2800700;46:40.7;1:38.4;19.0;1670900;27:50.9;1:28.9;0.0;2338300;38:58.3;3:43.3;7.0;1560000;26:00.0;1:49.1
73;Martin Øyen;Tøraasen;0;m;Folldal IF;NO;Serie;M20-22;00:00:00.000;Mål;111.0;OK;17;0;8;694620;Team Hugaas;111.0;16888020;4:41:28.0;21:53.210;0;623700;NOR;0.0;1739200;28:59.2;4:00.0;32.0;2704520;45:04.5;2:14.7;20.0;2148100;35:48.1;2:26.5;10.0;1403800;23:23.8;1:35.4;13.0;1419900;23:39.9;1:33.5;11.0;2243200;37:23.2;2:53.6;4.0;3027900;50:27.9;5:25.6;0.0;1808800;30:08.8;3:46.8;21.0;2201400;36:41.4;1:26.4;0.0;1584300;26:24.3;2:13.4
74;Magnus;Horten;0;m;Os IL;NO;Serie;M20-22;00:00:00.000;Mål;108.0;OK;18;0;7;426679;Team Hugaas;108.0;14221490;3:57:01.4;Mangler 1;0;623700;NOR;;;;;;;;;22.0;2129190;35:29.1;2:07.5;;;;;10.0;1423300;23:43.3;1:36.9;21.0;2191900;36:31.9;2:02.3;17.0;2904200;48:24.2;3:21.9;15.0;1719300;28:39.3;2:17.3;3.0;2325900;38:45.9;3:30.9;20.0;1527700;25:27.7;1:16.8
75;Trym;Paulsen;0;m;Skonseng UL;NO;Serie;M20-22;00:00:00.000;Mål;106.0;OK;19;0;8;4083331;Team Arctic Biathlon;106.0;17256450;4:47:36.4;28:01.640;0;623700;NOR;11.0;1652000;27:32.0;2:32.8;11.0;2911270;48:31.2;5:41.4;18.0;2157820;35:57.8;2:36.2;13.0;1398460;23:18.4;1:30.0;2.0;1444500;24:04.5;1:58.1;20.0;2209100;36:49.1;2:19.5;16.0;2905000;48:25.0;3:22.7;10.0;1739200;28:59.2;2:37.2;7.0;2283600;38:03.6;2:48.6;2.0;1581000;26:21.0;2:10.1
76;Øystein;Markegård;0;m;Geilo IL;NO;Serie;M20-22;00:00:00.000;Mål;98.0;OK;20;0;8;2119822;Team Geilo;98.0;16431610;4:33:51.6;14:16.800;0;623700;NOR;2.0;1692100;28:12.1;3:12.9;8.0;3002040;50:02.0;7:12.2;15.0;2176880;36:16.8;2:55.2;15.0;1394490;23:14.4;1:26.0;21.0;1389600;23:09.6;1:03.2;36.0;2124600;35:24.6;0:55.0;0.0;3070200;51:10.2;6:07.9;0.0;1861200;31:01.2;4:39.2;0.0;2342200;39:02.2;3:47.2;1.0;1581700;26:21.7;2:10.8
77;Øyvind Aalling;Lio;0;m;Bjerke IL Ski;NO;Serie;M20-22;00:00:00.000;Mål;93.0;OK;21;0;5;1948991;Team Geilo;93.0;10303400;2:51:43.4;Mangler 3;0;623700;NOR;;;;;;;;;;;;;;;;;32.0;1366600;22:46.6;0:40.2;24.0;2180600;36:20.6;1:51.0;9.0;2988000;49:48.0;4:45.7;0.0;0;0:00.0;26:22.0;12.0;2232200;37:12.2;1:57.2;16.0;1536000;25:36.0;1:25.1
78;Mathias;Skrede;0;m;Geilo IL;NO;Serie;M20-22;00:00:00.000;Mål;91.0;OK;22;0;8;677695;Team Geilo;91.0;16491440;4:34:51.4;15:16.630;0;623700;NOR;1.0;1695000;28:15.0;3:15.8;18.0;2805810;46:45.8;3:56.0;1.0;2253120;37:33.1;4:11.5;18.0;1390910;23:10.9;1:22.5;16.0;1411400;23:31.4;1:25.0;13.0;2232200;37:12.2;2:42.6;10.0;2983500;49:43.5;4:41.2;14.0;1719500;28:39.5;2:17.5;0.0;2366400;39:26.4;4:11.4;0.0;1658600;27:38.6;3:27.7
79;Ånon;Flåta;0;m;Gjerstad IL;NO;Serie;M20-22;00:00:00.000;Mål;90.0;OK;23;0;8;694765;Sirdal Ski;90.0;16707420;4:38:27.4;18:52.610;0;623700;NOR;0.0;1708400;28:28.4;3:29.2;10.0;2920920;48:40.9;5:51.1;;;;;;;;;1.0;1455300;24:15.3;2:08.9;17.0;2227400;37:07.4;2:37.8;36.0;2761200;46:01.2;0:58.9;0.0;1843200;30:43.2;4:21.2;9.0;2258800;37:38.8;2:23.8;17.0;1532200;25:32.2;1:21.3
80;Truls Fjellheim;JORDE;0;m;Asker Skiklubb;NO;Serie;M20-22;00:00:00.000;Mål;84.0;OK;24;0;4;676245;;84.0;7854170;2:10:54.1;Mangler 4;0;623700;NOR;22.0;1583800;26:23.8;1:24.6;24.0;2730810;45:30.8;2:41.0;19.0;2150120;35:50.1;2:28.5;19.0;1389440;23:09.4;1:21.0;;;;;;;;;;;;;;;;;;;;;;;;
81;Sivert;Bekken;0;m;Kvikne IL;NO;Serie;M20-22;00:00:00.000;Mål;84.0;OK;25;0;8;2275672;;84.0;15812910;4:23:32.9;3:58.100;0;623700;NOR;13.0;1640100;27:20.1;2:20.9;1.0;3052200;50:52.2;8:02.4;10.0;2212670;36:52.6;3:31.0;1.0;1471140;24:31.1;2:42.7;22.0;1388800;23:08.8;1:02.4;18.0;2224600;37:04.6;2:35.0;0.0;3306700;55:06.7;10:04.4;0.0;1780000;29:40.0;3:18.0;8.0;2278700;37:58.7;2:43.7;11.0;1544700;25:44.7;1:33.8
